origin,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28
DE11B,-0.22260690908694114,-0.10412433425732703,-0.0971216380289559,-0.050101079174470264,-0.008842821025562109,-0.07871893921800754,-0.027270904107591032,-0.09169559612347877,-0.41293175942940785,-0.16196639771305876,-0.14528492674538862,-0.09947976445438378,-0.13478694300165972,-0.04298415669496625,0.07728880457301046,-0.033631295356152835,0.07350237172939034,0.07028805004216876,-0.2710572864103482,-0.06985355872157828,-0.021339802412114306,-0.1281930066344027,0.19749892392369484,0.08294074216419034,0.13177503357335052,0.22948638647437347,0.126616733092064,0.09631851019549997,0.1980585558155188,0.2538807432710888,0.11481193045624183,0.05335003756493051,0.18609239183514026,0.07607235023745162,0.0020160839996155033,0.011472655790947028,0.24056487137453875,0.08525886743600375,0.04748070083328515,0.19149222471812566,0.05127735275703582,0.049990337169655064,0.09305390852857287,0.29745954410997033
DE11C,-0.15788563772312747,-0.12419533266606964,-0.11888565092605252,-0.04664374133796256,-0.016972559718377633,-0.14450365868077297,-0.08355188985349482,-0.13182966059311307,-0.5241938275599973,-0.1595693558413388,-0.16449002180586625,-0.07462242554627219,-0.14021658689531047,-0.09604624526377803,0.014116741479839545,-0.09980358365755826,-0.033497810581303966,0.00524487432736187,-0.3869291233731901,-0.18754779110379372,-0.12241861508430818,-0.20157298799918644,0.15522136315994262,0.0020292749803514365,0.0786731149104285,0.14010963546664268,0.044609622745924726,0.006441829054689263,0.07794596243813134,0.20695002690128805,0.05468405594984138,0.023791013014710538,0.1594884026355332,0.0511402124967566,-0.02063676149840843,-0.03463794155535971,0.23032901485435153,0.04150854198306386,0.06317102330246227,0.16777046265435835,0.0139544282404378,0.038454104205145834,0.09166723167672375,0.2322837797333701
DE11D,-0.2534444848090859,-0.2074804394214811,-0.21811937870987763,-0.14505572498413655,-0.10924088931419818,-0.17354518576121136,-0.1598263010436447,-0.2579109386053804,-0.5259460566304792,-0.25388538012779815,-0.241897957361784,-0.1808352581428223,-0.2053658233870468,-0.146993490319542,-0.07474350394829932,-0.14867297011847713,-0.07927740195665334,-0.06893176643149557,-0.4219694903421831,-0.2075127489445966,-0.17152637587712904,-0.33400532727163057,0.029767624941335002,-0.07083674892169556,-0.007495904800620012,0.03530311928175922,-0.03904023820822344,-0.07410287689570072,-0.03079531276291103,0.0932470436756685,-0.01570532218893883,-0.06845210260361156,0.04617799173711812,-0.042320524444651064,-0.09658646171601382,-0.07080382115860218,0.08014499200136105,-0.03883619732013577,-0.04438371995040391,0.03198064260328737,-0.10266028661022353,-0.08962188831741702,-0.04924710222456452,0.05422853686547069
DE121,-0.28187275097376496,-0.184867505407186,-0.22368153539625102,-0.1903787709943432,-0.15188084806088376,-0.22611108273779046,-0.17220821452977353,-0.20432541572022178,-0.46935009967016694,-0.25434269914203234,-0.24851298792483079,-0.20114982527640968,-0.21689437246198995,-0.1618791777615446,-0.13597843536724663,-0.22850206648773352,-0.13768891494481672,-0.1326669265929471,-0.39284656761317915,-0.21815201876268486,-0.2340326832166888,-0.35959020706304745,-0.04926809381321973,-0.11067331092826516,-0.08029233411034697,-0.01039280478566773,-0.10413713296148674,-0.14801156153663553,-0.09598976549361893,0.04991423274847495,-0.06560640248682625,-0.09435489891909377,-0.003228109439631477,-0.09550447501753712,-0.16825821385739836,-0.2123144221940223,0.019361091667115415,-0.0926151895455134,-0.1244974989008436,-0.02588482352577859,-0.12713151294491798,-0.14117734671112137,-0.1614307674848081,0.004230671599886104
DE122,-0.2627218287714309,-0.22964324655546842,-0.23104439637844898,-0.13686200219456401,-0.07712812982975359,-0.17755449648647315,-0.1516930362801988,-0.20940870400825007,-0.613906085263983,-0.2599572236922545,-0.19978885806769275,-0.11977116524724107,-0.1877784670207966,-0.13043869147486065,-0.11239194209307135,-0.19717408739062658,-0.07302444890257931,-0.0811479816303653,-0.5111270790624933,-0.15875493674815055,-0.10174247380294421,-0.2051608621169042,0.17880621101221794,-0.045101317581109246,-0.04305485577908219,0.10398955310375824,0.003782110907656122,0.014447667583165735,0.06664543962401237,0.1867194763810327,-0.005264555606060428,-0.05287899425044895,0.0934203018165276,-0.004858395066829391,-0.0195223649870907,-0.05563129523826604,0.1674229050531031,-0.04920116609956404,-0.06089027638826949,0.07797242117276193,-0.012015483173990149,0.03166986005731798,0.02223457974940124,0.14662232179793322
DE123,-0.22995785188446094,-0.17197359978444837,-0.17761693605618734,-0.11379660464243013,-0.030885313081479238,-0.1327903169369078,-0.11848987006172962,-0.19366121981092188,-0.5131847343512698,-0.21214210290716085,-0.19573579256302065,-0.11721189763918027,-0.16015402726667005,-0.11984768325111994,-0.08880525129778716,-0.14067492570185747,-0.038562523255566195,-0.03967060615288953,-0.4340252430356706,-0.159438342167747,-0.16185721280116838,-0.26129881801378785,0.12461325060743689,-0.0124146612924112,0.03333029538684129,0.11558542650878234,0.014231421847181291,-0.04048828630078882,0.00822593079962508,0.19063133335869686,0.023265237210872813,-0.03359767701886629,0.09090973804860325,0.0010230209800041745,-0.06830387021468964,-0.13189987019681304,0.15213993618699284,-0.031781650928009775,-0.05952162822076579,0.03521147564731497,-0.06466056189213598,-0.08944429150873112,-0.08658712313078498,0.09938623938206481
DE124,-0.16581270066264664,-0.12218845815332746,-0.1260964972926334,-0.0763668921275158,-0.013292599246235492,-0.10202418802158786,-0.06761457787660763,-0.10337055153423413,-0.4676845263091286,-0.16947174549094868,-0.14933274230664872,-0.033303334471221246,-0.08659084540305229,-0.02052691034399201,0.029352418795772328,-0.09525374344932314,-0.010510075405421593,-0.009494255583364586,-0.36230277039365144,-0.13316306958504642,-0.11901452517678857,-0.22650879701490256,0.13965761530011722,0.016352358803419342,0.03829885221319729,0.10936421448398415,-0.004498837394472099,-0.01868116046360957,0.03233983010024244,0.16940401076187483,0.023286583300360597,-0.042841752355471274,0.07706090557946221,-0.013666155729491924,-0.0728723080245649,-0.10755985105097754,0.1619083754769346,-0.009865613818349495,-0.03457395919284845,0.059062403618793,-0.03884782481403515,-0.05487227479884593,-0.05279738192272698,0.1258152332535567
DE125,-0.1841606268530045,-0.18449640970176429,-0.1930316362918283,-0.12523294694977016,-0.05479063821400887,-0.12661696039893144,0.00016882273926954738,-0.04680673489153708,-0.4335843889079082,-0.23508066580503328,-0.21865509182860443,-0.1531593280819571,-0.17346155645437622,-0.04462687553150324,-0.04982934383727533,-0.16835805729213227,-0.11287994929908707,-0.0874309489350279,-0.4074449500322104,-0.14166207453980073,-0.14863055334741815,-0.18863670328471227,0.03694450165984109,-0.08630439043096627,-0.030274493597294727,0.05144927939819577,-0.007088767586710287,-0.011460587227566599,0.028195341577335498,0.09437954583755759,-0.05131600939018921,-0.06951133483340943,0.016443050829207273,-0.02714138612107375,-0.06685909344034413,-0.10013782175211539,0.08339731054941946,-0.08047412480263894,-0.07325108038505157,-0.004602271988890738,-0.047020256176801056,-0.005951343515798735,-0.026933359268809354,0.0707579093226618
DE126,-0.2794340688339707,-0.20602511762505005,-0.20231772684277194,-0.11337286995957241,-0.05041563865510956,-0.16798228407323657,-0.23851299180150087,-0.2167631181770202,-0.6374648614822247,-0.22247826296072637,-0.16435915217568664,-0.09491887565236756,-0.1647773582707862,-0.1578455443253951,-0.11729182677617389,-0.16855562067287155,-0.06107169908508259,-0.054589780390460696,-0.5257838694519883,-0.14417595611890677,-0.10939422751388184,-0.14193941844734081,0.149642850823124,-0.02423712913919429,0.0022426256152148216,0.12090345085733856,0.02267424719866873,0.009878444100707373,0.05730869567361507,0.20490512395524285,-0.006221366912200654,-0.03831075634547709,0.09734356458510862,-0.0055052074900794334,-0.019367649831431355,-0.04780984881734951,0.19664586491444336,-0.021879859744259544,-0.02687437058590947,0.09485875616224515,0.0043179059962292765,0.05671882190520017,0.018662353268007692,0.19333242890932367
DE127,-0.23893332457720595,-0.1397918288079253,-0.13181384973654664,-0.06221518501429457,0.009497205611078252,-0.09180616008469944,-0.09831606320945108,-0.1416447887857888,-0.4247834277692515,-0.1611721523003573,-0.16452243819491064,-0.06882784334207737,-0.134882465694653,-0.060883596744031765,-0.039616004011898354,-0.09732839696544304,0.06109549901293687,0.0874979717255997,-0.32755385559123873,-0.09295857235639438,-0.07737996024470373,-0.12022964311170958,0.16453837431922524,0.0877195549280525,0.14750427851090464,0.20685689026810516,0.08721328154352026,0.023756027822992687,0.09511092329315618,0.23624045056599563,0.11037236683007978,0.05502517101287174,0.20064590625338297,0.056147160216724945,-0.02852399652164972,-0.05431356475061144,0.21352627372255983,0.08561270547268784,0.052873924504310166,0.19191354238083203,0.05266775462812401,0.004997509341161166,0.05214310836635394,0.21587297161657282
DE128,-0.21187199466594953,-0.17636910511209947,-0.18491713423774636,-0.10667059697416259,-0.050172655529342025,-0.1220247550789022,-0.11211521743293784,-0.15707073427598195,-0.4801069356713872,-0.22570419486812932,-0.20447411250734648,-0.13351852299847378,-0.16247204756870304,-0.10632332677057199,-0.09120946284975551,-0.17118953147776206,-0.07300172792201831,-0.0726502093344148,-0.4136297116775274,-0.15306045369173726,-0.15789284290642458,-0.20874504980363762,0.06586803299013178,-0.03073128761551791,0.007313049764074098,0.07571461924933232,-0.006640682207668447,-0.05074689954393097,-0.01028982645516563,0.11855970426217088,-0.0061661594584344614,-0.04760854631115241,0.07480015351593505,-0.02327450431261513,-0.08583966044560809,-0.1073877224160249,0.1242068900690887,-0.042563411615161195,-0.06070069781557286,0.032004300275111364,-0.046624546834974745,-0.05587092919031966,-0.0658732640031593,0.08306849066419475
DE129,-0.19232699923201346,-0.14750932883891954,-0.16069313710220134,-0.08103883232292686,-0.021886957038916743,-0.1222280361122251,-0.14907468910697708,-0.2074378853340313,-0.5508289101551724,-0.19537203294943262,-0.15993567329226654,-0.07948890783291374,-0.16139211087589933,-0.13109780684969063,-0.1558755261136877,-0.15120145745109748,-0.06534392898263597,-0.05199989488696766,-0.5049860017785975,-0.17770932944982154,-0.16350488502851368,-0.27158435834926675,0.08562987053885829,-0.02296133177197257,0.003772124501608909,0.07124798260926846,-0.02405910561285407,-0.06369780935579783,-0.06250614830700219,0.16060968696857092,-0.007691420126332726,-0.04770937202129977,0.052834886861434116,-0.03245723899648867,-0.09611492413545253,-0.13656306508530713,0.14817317217014891,-0.0056537952604354125,-0.06235352857282783,0.05150686736273502,-0.05345725891393671,-0.058088555787183416,-0.0883513951961824,0.13202631594015357
DE12A,-0.1981517428636077,-0.1432941565231115,-0.16147638700040223,-0.10525358835986875,-0.04238315348984356,-0.13221928009104633,-0.09433283426600103,-0.10328565814388302,-0.39937042553611235,-0.16389298504318528,-0.18259837344576435,-0.08359689567395456,-0.12295014250898428,-0.04921866549774856,0.041996641697728876,-0.08427247529049686,-0.0017602788234637456,0.0014763289568129334,-0.3638406844519455,-0.11933586286598341,-0.1211032326562842,-0.2331325336817276,0.11277970996927045,0.02355560649295052,0.029227899867538154,0.11790754217249999,0.04357818849883932,0.03150848401100492,0.09265357035180344,0.20014367030325952,0.06706789660884294,0.03178042237989542,0.12127465806645676,0.055047551928714356,-0.01592230385226212,-0.02916816921558074,0.1638624844615837,0.0208598428189537,-0.03553335109605815,0.07535488398907142,-0.007048414734264208,-0.005527367404538297,0.048227386392522886,0.18083243046697284
DE12B,-0.22012808602320566,-0.1937499283949391,-0.18897384775375525,-0.1257796981235343,-0.05122884278172768,-0.12961780165592873,-0.11055339250036966,-0.20480915577869585,-0.49760170782843804,-0.2179690314288122,-0.20430685898433998,-0.11563832715329692,-0.15785701084572135,-0.09346673086328017,-0.1056660275543081,-0.15669860570625493,-0.03227414728465394,-0.05834808754442322,-0.45140933100444036,-0.1801912881926443,-0.15205596021578405,-0.2743658792193855,0.042971464786805136,-0.026281769589082682,-0.024588336730013483,0.07551084829226196,-0.0077643363522061914,-0.029619567338845076,-0.03212591883128113,0.13821327530185035,0.018563587117186975,-0.05309173454359428,0.0689315852606327,0.03353092583667672,-0.048574841323746454,-0.10448896353418669,0.10443626359512703,-0.019333807396990976,-0.07133934987769686,0.04062795934257868,-0.04248264160753845,-0.03266037426517088,-0.055288807016844466,0.09815978903171363
